iso3,name,year
BEL,Belgium,1957
FRA,France,1957
DEU,Germany,1957
ITA,Italy,1957
LUX,Luxembourg,1957
NLD,Netherlands,1957
DNK,Denmark,1973
IRL,Ireland,1973
GBR,United Kingdom,1973
GRC,Greece,1981
PRT,Portugal,1986
ESP,Spain,1986
AUT,Austria,1995
FIN,Finland,1995
SWE,Sweden,1995
CYP,Cyprus,2004
CZE,Czech Republic,2004
EST,Estonia,2004
HUN,Hungary,2004
LVA,Latvia,2004
LTU,Lithuania,2004
MLT,Malta,2004
POL,Poland,2004
SVK,Slovak Republic,2004
SVN,Slovenia,2004
BGR,Bulgaria,2007
HRV,Croatia,2013
ROU,Romania,2007
