year,url,file,local_file_date
1962,https://comtrade.un.org/api/get/bulk/C/A/1962/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1962_freq-A_px-S1_pub-20050214_fmt-csv_ex-20190512.zip,2005-02-14
1963,https://comtrade.un.org/api/get/bulk/C/A/1963/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1963_freq-A_px-S1_pub-20051212_fmt-csv_ex-20190511.zip,2005-12-12
1964,https://comtrade.un.org/api/get/bulk/C/A/1964/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1964_freq-A_px-S1_pub-20051213_fmt-csv_ex-20190512.zip,2005-12-13
1965,https://comtrade.un.org/api/get/bulk/C/A/1965/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1965_freq-A_px-S1_pub-20051213_fmt-csv_ex-20190511.zip,2005-12-13
1966,https://comtrade.un.org/api/get/bulk/C/A/1966/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1966_freq-A_px-S1_pub-20051212_fmt-csv_ex-20190513.zip,2005-12-12
1967,https://comtrade.un.org/api/get/bulk/C/A/1967/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1967_freq-A_px-S1_pub-20051213_fmt-csv_ex-20190512.zip,2005-12-13
1968,https://comtrade.un.org/api/get/bulk/C/A/1968/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1968_freq-A_px-S1_pub-20051213_fmt-csv_ex-20190513.zip,2005-12-13
1969,https://comtrade.un.org/api/get/bulk/C/A/1969/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1969_freq-A_px-S1_pub-20051213_fmt-csv_ex-20190512.zip,2005-12-13
1970,https://comtrade.un.org/api/get/bulk/C/A/1970/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1970_freq-A_px-S1_pub-20051212_fmt-csv_ex-20190511.zip,2005-12-12
1971,https://comtrade.un.org/api/get/bulk/C/A/1971/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1971_freq-A_px-S1_pub-20051212_fmt-csv_ex-20190512.zip,2005-12-12
1972,https://comtrade.un.org/api/get/bulk/C/A/1972/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1972_freq-A_px-S1_pub-20051212_fmt-csv_ex-20190512.zip,2005-12-12
1973,https://comtrade.un.org/api/get/bulk/C/A/1973/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1973_freq-A_px-S1_pub-20051212_fmt-csv_ex-20190513.zip,2005-12-12
1974,https://comtrade.un.org/api/get/bulk/C/A/1974/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1974_freq-A_px-S1_pub-20051212_fmt-csv_ex-20190512.zip,2005-12-12
1975,https://comtrade.un.org/api/get/bulk/C/A/1975/ALL/S1?token=REPLACE_TOKEN,sitc-rev1/zip/type-C_r-ALL_ps-1975_freq-A_px-S1_pub-20051212_fmt-csv_ex-20190513.zip,2005-12-12
